ClipID,Boredom,Engagement,Confusion,Frustration 
5000441001.avi,1,2,0,0
5000441002.avi,0,2,0,0
5000441003.avi,1,2,0,0
5000441005.avi,2,2,0,0
5000441006.avi,2,2,1,2
5000441007.avi,2,2,0,0
5000441008.avi,2,2,0,1
5000441009.avi,0,3,0,0
5000441010.avi,2,2,0,0
5000441012.avi,1,2,0,0
5000441013.avi,1,2,0,0
5000441014.avi,1,2,1,1
5000441015.avi,0,2,1,2
5000441016.avi,0,3,0,0
5000441017.avi,2,2,1,0
5000441018.avi,1,3,0,0
5000441021.avi,2,3,0,0
5000441022.avi,2,2,1,1
5000441023.avi,0,3,0,0
5000441024.avi,2,1,1,0
5000441027.avi,0,3,0,0
5000441030.avi,2,2,0,0
5000441031.avi,3,2,0,0
5000441032.avi,2,2,0,0
5000441033.avi,2,2,0,0
5000441034.avi,0,2,2,0
5000441035.avi,1,3,1,0
5000441037.avi,0,2,0,0
5000441038.avi,2,3,0,0
5000441039.avi,2,3,0,0
5000441040.avi,1,3,1,0
5000441041.avi,0,3,0,0
5000441042.avi,0,2,0,0
5000441043.avi,1,2,0,0
5000441044.avi,0,2,0,0
5000441045.avi,1,2,0,1
5000441046.avi,1,3,0,0
5000441047.avi,1,2,1,1
5000441048.avi,0,2,0,0
5000441050.avi,2,2,0,0
5000441051.avi,1,2,1,1
5000441052.avi,2,2,0,0
5000441053.avi,1,3,0,0
5000441054.avi,2,2,0,0
5000441055.avi,0,3,0,0
5000441058.avi,2,1,0,0
5000441059.avi,0,2,0,1
5000441061.avi,1,3,0,0
5000441062.avi,1,2,0,0
5000441064.avi,0,2,0,0
5000441065.avi,2,2,0,0
5000441066.avi,0,2,1,0
5000441067.avi,2,1,0,0
5000441068.avi,2,2,0,0
5000441069.avi,0,2,0,0
5000441070.avi,0,3,0,0
5000441071.avi,0,3,0,0
5000441072.avi,1,3,0,0
5000442001.avi,0,3,1,0
5000442002.avi,2,2,2,2
5000442003.avi,0,2,0,0
5000442004.avi,2,2,1,1
5000442005.avi,2,2,1,1
5000442007.avi,0,2,0,0
5000442008.avi,1,2,0,0
5000442009.avi,0,3,0,0
5000442010.avi,1,2,1,1
5000442014.avi,1,3,0,0
5000442015.avi,0,2,0,1
5000442016.avi,1,2,0,0
5000442019.avi,0,2,0,0
5000442021.avi,2,2,0,0
5000442022.avi,0,3,0,0
5000442024.avi,0,2,0,0
5000442025.avi,2,2,0,0
5000442026.avi,0,2,0,0
5000442027.avi,2,3,0,0
5000442028.avi,2,2,0,0
5000442029.avi,0,3,0,0
5000442033.avi,2,2,0,0
5000442034.avi,0,3,0,0
5000442035.avi,0,3,0,0
5000442036.avi,0,2,0,0
5000442037.avi,1,3,1,1
5000442038.avi,0,3,0,0
5000442039.avi,0,3,0,0
5000442040.avi,0,3,0,0
5000442042.avi,1,2,0,1
5000442043.avi,1,3,0,0
5000442045.avi,0,3,0,0
5000442047.avi,1,2,1,0
5000442048.avi,0,2,0,0
5000442050.avi,0,2,0,0
5000442051.avi,0,2,0,0
5000442052.avi,0,2,0,0
5000442053.avi,1,2,0,0
5000442054.avi,1,3,0,0
5000442055.avi,2,3,2,0
5000442056.avi,1,2,0,0
5000442057.avi,0,3,2,0
5000442058.avi,1,3,0,0
5000442059.avi,0,3,1,1
5000442060.avi,0,2,0,0
5000442062.avi,1,2,0,0
5000442063.avi,1,3,1,0
5000442064.avi,0,3,0,0
