ClipID;0=EngBor//1=C+F
5000441001;0
5000441002;0
5000441003;0
5000441005;0
5000441006;1
5000441007;0
5000441008;1
5000441009;0
5000441010;0
5000441012;0
5000441013;0
5000441014;1
5000441015;1
5000441016;0
5000441017;1
5000441018;0
5000441021;0
5000441022;1
5000441023;0
5000441024;1
5000441027;0
5000441030;0
5000441031;0
5000441032;0
5000441033;0
5000441034;1
5000441035;1
5000441037;0
5000441038;0
5000441039;0
5000441040;1
5000441041;0
5000441042;0
5000441043;0
5000441044;0
5000441045;1
5000441046;0
5000441047;1
5000441048;0
5000441050;0
5000441051;1
5000441052;0
5000441053;0
5000441054;0
5000441055;0
5000441058;0
5000441059;1
5000441061;0
5000441062;0
5000441064;0
5000441065;0
5000441066;1
5000441067;0
5000441068;0
5000441069;0
5000441070;0
5000441071;0
5000441072;0
5000442001;1
5000442002;1
5000442003;0
5000442004;1
5000442005;1
5000442007;0
5000442008;0
5000442009;0
5000442010;1
5000442014;0
5000442015;1
5000442016;0
5000442019;0
5000442021;0
5000442022;0
5000442024;0
5000442025;0
5000442026;0
5000442027;0
5000442028;0
5000442029;0
5000442033;0
5000442034;0
5000442035;0
5000442036;0
5000442037;1
5000442038;0
5000442039;0
5000442040;0
5000442042;1
5000442043;0
5000442045;0
5000442047;1
5000442048;0
5000442050;0
5000442051;0
5000442052;0
5000442053;0
5000442054;0
5000442055;1
5000442056;0
5000442057;1
5000442058;0
5000442059;1
5000442060;0
5000442062;0
5000442063;1
5000442064;0
5000442065;0
5000442066;0
5000442067;0
5000442068;0
5000442069;0
5000442070;0
5000442072;0
5000442073;1
5000442074;0
5000442075;0
5000442076;0
5000442077;0
5000442078;0
5000671001;0
5000671002;0
5000671003;1
5000671004;0
5000671005;1
5000671006;0
5000671008;1
5000671009;1
5000671010;0
5000671011;0
5000671012;0
5000671013;0
5000671014;0
5000671015;0
5000671016;0
5000671017;0
5000671018;0
5000671019;1
5000671020;0
5000671022;0
5000671023;1
5000671024;0
5000671026;0
5000671027;0
5000671028;0
5000671029;0
5000671030;0
5000671031;1
5000671032;0
5000671033;0
5000671034;0
5000671035;0
5000671036;0
5000671037;0
5000671038;0
5000671039;1
5000671040;1
5000671041;0
5000671042;1
5000671043;1
5000671046;1
5000671047;0
5000671048;1
5000671049;0
5000671050;1
5000671051;0
5000671053;1
5000671055;0
5000671056;1
5000671057;0
5000671058;0
5000671059;0
5000671060;0
5000671061;1
5000671062;1
5000671063;0
5000671064;0
5000671065;1
5000671066;0
5000671067;1
5000671069;1
5000671070;1
5000671071;0
5000672002;0
5000672004;0
5000672005;0
5000672006;0
5000672007;0
5000672008;0
5000672010;0
5000672011;0
5000672012;0
5000672013;0
5000672014;0
5000672016;0
5000672017;1
5000672019;0
5000672020;0
5000672021;0
5000672022;0
5000672023;0
5000672024;0
5000672025;0
5000672026;0
5000672027;0
5000672030;1
5000672031;0
5000672033;1
5000672034;1
5000672035;0
5000672036;1
5000672038;1
5000672042;0
5000672043;0
5000672044;0
5000672045;0
5000672046;1
5000672047;0
5000672048;1
5000672049;0
5000672050;1
5000672051;0
5000672052;0
5000672053;0
5000672054;0
5000672055;1
5000672056;0
5000672057;0
5000672058;0
5000672059;1
5000672060;0
5000672062;1
5000672064;1
5000672065;1
5000672066;1
5000672067;0
5000672068;0
5000672070;1
5000672071;0
5000672072;0
5000672074;0
5000672075;1
5000672076;0
