ClipID;Boredom;Engagement;Confusion;Frustration ;;Only Con;Only Frus;>1;>0;;;Bor;onlyEng;onlyBored
1100011002.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100011003.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100011004.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011005.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011006.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011007.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100011008.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011009.avi;0;2;1;0;;1;0;0;1;0;;0;0;0
1100011010.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011011.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011012.avi;0;2;2;0;;1;0;1;1;0;;0;0;0
1100011013.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011014.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011015.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011016.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011017.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011018.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011019.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011020.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011021.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011022.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011023.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011025.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011026.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011027.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011028.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011029.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011031.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011032.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011034.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011035.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011037.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011038.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011040.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100011046.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011047.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011048.avi;1;2;1;1;;1;1;0;1;0;;0;0;0
1100011049.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011050.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011051.avi;0;3;1;0;;1;0;0;1;1;;0;0;0
1100011052.avi;1;3;0;1;;0;1;0;1;1;;0;0;0
1100011053.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011054.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011055.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011056.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011057.avi;1;3;0;0;;0;0;0;0;1;;0;1;0
1100011058.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011059.avi;0;3;1;0;;1;0;0;1;1;;0;0;0
1100011060.avi;1;3;1;1;;1;1;0;1;1;;0;0;0
1100011062.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011063.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011064.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011066.avi;1;3;0;0;;0;0;0;0;1;;0;1;0
1100011067.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011068.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011069.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011070.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011071.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011072.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011073.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011075.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011076.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011078.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100011079.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011080.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011081.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011082.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100011083.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012001.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012003.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012007.avi;0;3;0;1;;0;1;0;1;1;;0;0;0
1100012008.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012009.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012010.avi;0;3;3;0;;1;0;1;1;1;;0;0;0
1100012011.avi;0;3;0;1;;0;1;0;1;1;;0;0;0
1100012013.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012014.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012015.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012016.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012017.avi;0;3;1;0;;1;0;0;1;1;;0;0;0
1100012018.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012021.avi;1;2;0;0;;0;0;0;0;1;;0;1;0
1100012022.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012023.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012025.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012026.avi;1;3;0;0;;0;0;0;0;1;;0;1;0
1100012027.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012028.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012030.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012031.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012032.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012033.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012036.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012037.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012038.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012041.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012042.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100012045.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100012046.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012047.avi;0;2;0;0;;0;0;0;0;1;;0;1;0
1100012049.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012050.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012051.avi;0;3;1;0;;1;0;0;1;1;;0;0;0
1100012052.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012057.avi;1;3;1;1;;1;1;0;1;1;;0;0;0
1100012059.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012060.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012061.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012062.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012063.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012064.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
1100012065.avi;0;3;1;1;;1;1;0;1;1;;0;0;0
1100012066.avi;0;3;0;0;;0;0;0;0;1;;0;1;0
