ClipID;0=C+F//1=EngOnly//2=BorEng
4000221001;1
4000221002;2
4000221006;2
4000221008;1
4000221009;2
4000221010;0
4000221011;0
4000221013;2
4000221014;0
4000221015;0
4000221016;1
4000221017;1
4000221018;1
4000221024;0
4000221033;2
4000221034;2
4000221035;2
4000221036;2
4000221040;0
4000221041;2
4000221042;0
4000221054;1
4000221055;2
4000221061;1
4000221062;2
4000221064;0
4000221065;2
4000221066;2
4000221067;0
4000221071;2
4000221072;2
4000222001;1
4000222003;0
4000222004;2
4000222007;2
4000222012;1
4000222013;0
4000222014;0
4000222015;0
4000222017;2
4000222031;2
4000222032;0
4000222035;2
4000222036;2
4000222038;2
4000222039;2
4000222040;0
4000222041;2
4000222042;2
4000222044;0
4000222045;1
4000222046;1
4000222051;2
4000222052;2
4000222054;0
4000222056;2
4000222057;2
4000222068;0
4000222069;0
4000222070;2
4000231001;1
4000231008;2
4000231010;1
4000231011;1
4000231012;0
4000231013;0
4000231014;1
4000231021;1
4000231032;1
4000231033;0
4000231034;0
4000231037;0
4000231038;1
4000231047;2
4000231049;0
4000231052;0
4000231060;1
4000231061;2
4000231063;2
4000231065;1
4000231070;0
4000231071;2
4000231073;1
4000231074;1
4000231081;1
4000232001;0
4000232004;1
4000232005;2
4000232006;1
4000232007;1
4000232010;1
4000232016;1
4000232017;1
4000232018;1
4000232022;2
4000232024;1
4000232027;1
4000232034;1
4000232035;2
4000232036;0
4000232037;1
4000232038;1
4000232042;0
4000232044;1
4000232045;1
4000232048;1
4000232051;1
4000232054;2
4000232059;2
4000232062;2
4000232065;1
4000232068;2
4000232071;0
4000232072;2
4000301002;2
4000301003;0
4000301005;0
4000301006;0
4000301007;0
4000301008;2
4000301010;2
4000301011;2
4000301012;2
4000301013;2
4000301014;2
4000301015;2
4000301016;1
4000301018;1
4000301019;0
4000301020;2
4000301021;2
4000301022;0
4000301023;1
4000301025;1
4000301026;1
4000301027;0
4000301028;2
4000301030;1
4000301031;2
4000301032;1
4000301034;2
4000301038;1
4000301039;1
4000301040;2
4000301041;1
4000301042;1
4000301043;1
4000301044;0
4000301045;1
4000301047;1
4000301049;2
4000301052;1
4000301053;1
4000301054;2
4000301055;0
4000301056;2
4000301057;1
4000301058;2
4000301059;1
4000301060;2
4000301061;2
4000301062;1
4000301063;1
4000301064;1
4000301065;0
4000301066;2
4000301067;2
4000301068;2
4000301069;2
4000301070;0
4000301071;2
4000301072;1
4000301073;1
4000301074;1
4000301076;2
4000301079;2
4000331001;1
4000331002;1
4000331003;1
4000331004;1
4000331005;1
4000331006;0
4000331007;1
4000331008;1
4000331011;1
4000331012;1
4000331013;0
4000331015;0
4000331017;0
4000331019;1
4000331020;1
4000331021;0
4000331022;0
4000331023;1
4000331025;2
4000331027;1
4000331029;2
4000331030;1
4000331031;1
4000331032;1
4000331033;2
4000331035;1
4000331036;2
4000331037;0
4000331038;1
4000331039;0
4000331040;2
4000331041;2
4000331042;1
4000331043;2
4000331044;0
4000331045;1
4000331046;1
4000331051;2
4000331052;1
4000331053;1
4000331054;0
4000331055;2
4000331056;0
4000331057;0
4000331058;0
4000331060;2
4000331062;1
4000331063;2
4000331064;0
4000331067;0
4000331068;1
4000331069;0
4000332001;1
4000332002;2
4000332007;1
4000332008;2
4000332009;0
4000332010;2
4000332012;0
4000332013;1
4000332014;1
4000332015;0
4000332017;1
4000332019;1
4000332020;1
4000332021;2
4000332022;2
4000332023;0
4000332025;1
4000332027;1
4000332030;2
4000332031;2
4000332032;2
4000332034;2
4000332035;1
4000332036;2
4000332037;0
4000332038;2
4000332039;0
4000332041;1
4000332044;1
4000332045;2
4000332046;0
4000332048;1
4000332050;0
4000332051;2
4000332052;1
4000332057;2
4000332059;0
4000332060;0
4000332061;2
4000332062;1
4000332063;1
4000332064;2
4000332066;1
4000332067;1
4000332068;1
4000332071;0
4000332072;2
4000332073;0
4000332074;0
4000332075;0
4000332077;0
4000332078;0
4000332079;0
4000332080;1
4000332081;0
4000332082;0
4100191001;2
4100191002;0
4100191003;0
4100191004;1
4100191006;2
4100191007;2
4100191008;0
4100191010;0
4100191012;0
4100191014;2
4100191016;0
4100191017;0
4100191018;2
4100191020;0
4100191021;0
4100191023;0
4100191024;0
4100191025;0
4100191026;2
4100191030;2
4100191031;0
4100191032;2
4100191033;0
4100191034;0
4100191035;2
4100191038;0
4100191039;2
4100191041;2
4100191042;0
4100191043;2
4100191045;2
4100191046;2
4100191052;0
4100191053;2
4100192001;2
4100192002;0
4100192003;1
4100192004;2
4100192005;2
4100192006;2
4100192007;0
4100192010;0
4100192011;0
4100192012;0
4100192013;0
4100192014;2
4100192015;0
4100192016;1
4100192019;0
4100192020;0
4100192022;2
4100192023;1
4100192024;2
4100192025;1
4100192026;2
4100192027;0
4100192028;2
4100192029;0
4100192031;0
4100192032;2
4100192033;0
4100192034;0
4100192036;2
4100192037;0
4100192038;0
4100192039;2
4100192040;0
4100192043;0
4100192044;2
4100192045;2
4100192046;2
4100192047;2
4100192048;0
4100192049;0
4100192050;2
